instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5;status_6;vars_makespan_6;clauses_makespan_6;cost_makespan_6;time_makespan_6;vars_soc_6;clauses_soc_6;cost_soc_6;time_soc_6;status_7;vars_makespan_7;clauses_makespan_7;cost_makespan_7;time_makespan_7;vars_soc_7;clauses_soc_7;cost_soc_7;time_soc_7;status_8;vars_makespan_8;clauses_makespan_8;cost_makespan_8;time_makespan_8;vars_soc_8;clauses_soc_8;cost_soc_8;time_soc_8;status_9;vars_makespan_9;clauses_makespan_9;cost_makespan_9;time_makespan_9;vars_soc_9;clauses_soc_9;cost_soc_9;time_soc_9;status_10;vars_makespan_10;clauses_makespan_10;cost_makespan_10;time_makespan_10;vars_soc_10;clauses_soc_10;cost_soc_10;time_soc_10;status_11;vars_makespan_11;clauses_makespan_11;cost_makespan_11;time_makespan_11;vars_soc_11;clauses_soc_11;cost_soc_11;time_soc_11;status_12;vars_makespan_12;clauses_makespan_12;cost_makespan_12;time_makespan_12;vars_soc_12;clauses_soc_12;cost_soc_12;time_soc_12;status_13;vars_makespan_13;clauses_makespan_13;cost_makespan_13;time_makespan_13;vars_soc_13;clauses_soc_13;cost_soc_13;time_soc_13
24;Instance-20-10-36-0;36;0;137133;1626394;515;1.74;259483;4192473;515;2.73;0;213598;1281984;515;1.67;438524;2775316;515;2.91;0;451807;1950040;515;3.07;1083276;5028955;515;5.05;0;447899;1532840;515;2.01;982064;3342922;515;3.34;0;291793;1369151;515;1.76;619055;2968536;515;3.1;0;166437;1406225;515;1.98;309197;3143892;515;3.09;0;291793;1369151;515;2.61;619055;2968536;515;4.62;0;291793;1369151;515;1.79;619055;2968536;515;4.14;0;291793;1369151;515;2.54;619055;2968536;515;3.89;0;291793;1369151;515;1.69;619055;2968536;515;2.99;0;166437;1406225;515;1.7;309197;3143892;515;3.91;3;173045;1871246;-1;600;-1;-1;-1;600;0;173045;2045812;515;2.07;319116;4691212;515;3.12
25;Instance-20-10-36-3;36;0;113821;1241432;498;0.9;123881;1418261;498;1.13;0;172800;1025799;498;0.87;190933;1145286;498;1.1;0;348829;1484194;498;1.5;395871;1698410;498;2.01;0;354078;1221165;498;0.99;396606;1365904;498;1.27;0;233563;1094316;498;0.96;259705;1222217;498;1.22;0;138281;1115063;498;0.99;150384;1251068;498;1.26;0;233563;1094316;498;1.39;259705;1222217;498;1.63;0;233563;1094316;498;0.96;259705;1222217;498;1.21;0;233563;1094316;498;1.31;259705;1222217;498;1.56;0;233563;1094316;498;1.02;259705;1222217;498;1.29;0;138281;1115063;498;0.8;150384;1251068;498;1;3;144021;1466696;-1;600;-1;-1;-1;600;0;144021;1604018;498;1.02;156472;1805923;498;1.27
26;Instance-20-10-36-7;36;0;182446;2567089;475;2.2;247353;3994252;475;2.97;0;297788;1858187;475;1.88;417633;2661376;475;2.59;0;687006;3081742;475;3.86;1029944;4788822;475;5.37;0;649074;2228335;475;2.28;934568;3200936;475;3.2;0;414696;1985188;475;2.04;589441;2845163;475;2.89;0;219392;2069724;475;2.2;294552;3008535;475;3;0;414696;1985188;475;3.62;589441;2845163;475;4.97;0;414696;1985188;475;2.21;589441;2845163;475;3.82;0;414696;1985188;475;3.53;589441;2845163;475;4.38;0;414696;1985188;475;2.1;589441;2845163;475;3.19;0;219392;2069724;475;2.01;294552;3008535;475;3.13;3;227116;2795098;-1;600;-1;-1;-1;600;0;227116;3049536;475;2.34;304001;4484215;475;3.08
27;Instance-20-10-38-0;38;0;131928;1583777;452;0.66;131928;1583777;452;0.66;0;207064;1247671;452;0.61;207064;1247671;452;0.61;0;441377;1901594;452;1.12;441377;1901594;452;1.12;0;436867;1492939;452;0.89;436867;1492939;452;0.89;0;283706;1332681;452;0.62;283706;1332681;452;0.62;0;160130;1368319;452;0.65;160130;1368319;452;0.65;0;283706;1332681;452;0.65;283706;1332681;452;0.65;0;283706;1332681;452;0.64;283706;1332681;452;0.64;0;283706;1332681;452;0.63;283706;1332681;452;0.63;0;283706;1332681;452;0.62;283706;1332681;452;0.62;0;160130;1368319;452;0.63;160130;1368319;452;0.63;3;166703;1816248;-1;600;-1;-1;-1;600;0;166703;1986430;452;0.77;166703;1986430;452;0.77
28;Instance-20-10-38-3;38;0;95789;936166;544;0.86;125848;1454034;544;1.12;0;140450;806710;544;0.79;194723;1160231;544;1.04;0;267525;1114990;544;1.54;406797;1743338;544;2.06;0;278411;957118;544;1.13;405904;1386657;544;1.51;0;187225;860573;544;0.84;265394;1239257;544;1.1;0;116343;867909;544;0.92;152833;1269518;544;1.22;0;187225;860573;544;1.18;265394;1239257;544;1.49;0;187225;860573;544;0.83;265394;1239257;544;1.14;0;187225;860573;544;1.19;265394;1239257;544;1.48;0;187225;860573;544;0.83;265394;1239257;544;1.19;0;116343;867909;544;0.86;152833;1269518;544;1.11;1;121708;1125793;544;98.16;159340;1677282;544;600;0;121708;1233747;544;1.01;159340;1835598;544;1.31
29;Instance-20-10-38-7;38;0;124344;1419093;504;1.61;206433;3070466;504;2.27;0;191591;1145744;504;1.4;341817;2142553;504;2.01;0;395657;1698785;504;2.56;809662;3684692;504;3.81;0;397745;1367354;504;1.72;754659;2576647;504;2.48;0;260384;1222916;504;1.54;478555;2290288;504;2.23;0;151263;1249768;504;1.62;247772;2404893;504;2.32;0;260384;1222916;504;3.19;478555;2290288;504;4.15;0;260384;1222916;504;1.66;478555;2290288;504;2.74;0;260384;1222916;504;3.21;478555;2290288;504;3.94;0;260384;1222916;504;1.5;478555;2290288;504;2.93;0;151263;1249768;504;1.44;247772;2404893;504;2.4;3;157607;1647817;-1;600;-1;-1;-1;600;0;157607;1802341;504;1.59;256583;3544263;504;2.24
30;Instance-20-10-40-0;40;0;66504;544020;457;1.89;357024;6958021;443;3.66;0;91873;504494;457;1.5;625214;4049752;443;3.56;0;157057;639886;457;3.1;1676427;8291696;443;6.18;0;171583;593630;457;1.85;1436499;4888230;443;4.07;0;118996;536930;457;1.54;894718;4333528;443;3.41;0;80399;531954;457;1.71;419030;4706810;443;3.64;0;118996;536930;457;2.24;894718;4333528;443;8.1;0;118996;536930;457;1.56;894718;4333528;443;8.02;0;118996;536930;457;2.27;894718;4333528;443;4.37;0;118996;536930;457;1.49;894718;4333528;443;4.25;0;80399;531954;457;1.54;419030;4706810;443;5.83;1;84553;671827;457;21.23;431738;6496515;457;600;0;84553;736995;457;1.88;431738;7064387;443;3.3
31;Instance-20-10-40-3;40;0;146990;1846047;572;1.95;253432;4203993;572;2.85;0;232563;1418263;572;1.66;429424;2739427;572;2.45;0;505369;2213556;572;3.24;1070373;5033038;572;5.01;0;494446;1697211;572;2.37;962945;3295587;572;3.42;0;319730;1514560;572;1.72;606934;2929041;572;2.58;0;178008;1561985;572;1.89;301590;3115377;572;2.78;0;319730;1514560;572;2.23;606934;2929041;572;3.34;0;319730;1514560;572;1.72;606934;2929041;572;2.85;0;319730;1514560;572;2.32;606934;2929041;572;3.28;0;319730;1514560;572;1.84;606934;2929041;572;2.91;0;178008;1561985;572;1.57;301590;3115377;572;2.5;3;185401;2071893;-1;600;-1;-1;-1;600;0;185401;2264787;572;2.06;311903;4613780;572;2.86
32;Instance-20-10-40-7;40;0;118814;1344969;569;1.32;177995;2517767;569;1.82;0;183026;1081174;569;1.38;291491;1796055;569;1.82;0;378450;1612614;569;2.25;675899;3025652;569;3.22;0;380427;1293504;569;1.98;637810;2161423;569;2.64;0;248786;1154943;569;1.24;406375;1920920;569;1.75;0;144474;1181324;569;1.53;214436;2009393;569;2.03;0;248786;1154943;569;3.4;406375;1920920;569;4.15;0;248786;1154943;569;1.33;406375;1920920;569;2.01;0;248786;1154943;569;3.24;406375;1920920;569;3.78;0;248786;1154943;569;1.26;406375;1920920;569;1.91;0;144474;1181324;569;1.42;214436;2009393;569;2.02;3;150870;1554907;-1;600;-1;-1;-1;600;0;150870;1702781;569;1.45;222716;2951045;569;1.91
33;Instance-20-10-42-0;42;0;131245;1593723;618;4.2;509577;11244941;618;8.82;0;205849;1235960;618;4.49;912846;5970356;618;9.36;0;440959;1911779;618;7.84;2581303;13334188;618;14.81;0;433770;1479246;618;4.74;2127189;7216982;618;9.62;0;281891;1320344;618;3.61;1317303;6392334;618;8.14;0;159091;1359843;618;3.29;591726;7057444;618;7.95;0;281891;1320344;618;12.21;1317303;6392334;618;20.68;0;281891;1320344;618;3.79;1317303;6392334;618;12.68;0;281891;1320344;618;11.15;1317303;6392334;618;16.26;0;281891;1320344;618;3.66;1317303;6392334;618;53.97;0;159091;1359843;618;3.13;591726;7057444;618;9.35;3;166177;1792720;-1;600;-1;-1;-1;600;0;166177;1961802;618;3.95;608418;10643355;618;12.28
34;Instance-20-10-42-3;42;0;128366;1606128;502;1.34;163724;2329802;502;1.77;0;201832;1221805;502;1.36;266555;1651098;502;1.76;0;438416;1924122;502;2.28;617544;2792789;502;3.12;0;426642;1461239;502;1.5;579634;1981162;502;2.03;0;276898;1304815;502;1.32;370886;1764596;502;1.74;0;154823;1347727;502;1.3;196635;1849068;502;1.74;0;276898;1304815;502;2.14;370886;1764596;502;2.82;0;276898;1304815;502;1.27;370886;1764596;502;1.85;0;276898;1304815;502;2.1;370886;1764596;502;2.58;0;276898;1304815;502;1.3;370886;1764596;502;1.82;0;154823;1347727;502;1.14;196635;1849068;502;1.64;3;161587;1780791;-1;600;-1;-1;-1;600;0;161587;1947071;502;1.4;204603;2695167;502;1.82
35;Instance-20-10-42-7;42;0;156423;2185961;546;3.27;350203;6998238;546;5.26;0;253663;1565084;546;3.35;615322;3995890;546;5.74;0;582908;2621281;546;5.26;1667072;8328736;546;9.09;0;550524;1878486;546;3.58;1418131;4825006;546;6.49;0;352479;1672735;546;2.86;881781;4275978;546;5.6;0;187928;1747081;546;3.3;410132;4662525;546;5.3;0;352479;1672735;546;5.85;881781;4275978;546;10.09;0;352479;1672735;546;3.02;881781;4275978;546;8.28;0;352479;1672735;546;5.73;881781;4275978;546;8.38;0;352479;1672735;546;2.78;881781;4275978;546;9.93;0;187928;1747081;546;2.96;410132;4662525;546;5.91;3;195593;2330154;-1;600;-1;-1;-1;600;0;195593;2545616;546;3.52;422822;6979131;546;6.1
36;Instance-20-10-44-0;44;0;113754;1266664;617;1.73;276558;4948997;617;3.07;0;174309;1032574;617;1.57;476025;3046358;617;2.74;0;356073;1516768;617;3.16;1228352;5913069;617;5.53;0;360244;1232934;617;2.1;1080965;3674952;617;3.77;0;236304;1102354;617;1.69;676672;3259283;617;2.94;0;138476;1124649;617;1.84;327195;3498682;617;3.17;0;236304;1102354;617;2.99;676672;3259283;617;6.54;0;236304;1102354;617;1.73;676672;3259283;617;4.66;0;236304;1102354;617;3.06;676672;3259283;617;4.49;0;236304;1102354;617;1.55;676672;3259283;617;4.92;0;138476;1124649;617;1.66;327195;3498682;617;3.71;3;145019;1470841;-1;600;-1;-1;-1;600;0;145019;1610821;617;2.03;338633;5184148;617;3.31
37;Instance-20-10-44-3;44;0;186891;2754184;611;2.73;324656;6207298;611;4.01;0;309169;1908177;611;2.27;566901;3624987;611;3.37;0;731727;3309099;611;4.76;1510337;7406338;611;7.05;0;681495;2299555;611;2.95;1301336;4385317;611;4.34;0;432877;2041964;611;2.39;810514;3881959;611;3.6;0;224655;2148954;611;2.59;381999;4209440;611;3.76;0;432877;2041964;611;2.7;810514;3881959;611;3.86;0;432877;2041964;611;2.47;810514;3881959;611;3.61;0;432877;2041964;611;2.65;810514;3881959;611;3.95;0;432877;2041964;611;2.28;810514;3881959;611;3.76;0;224655;2148954;611;2.29;381999;4209440;611;3.18;3;233637;2880118;-1;600;-1;-1;-1;600;0;233637;3148006;611;2.64;394657;6294251;611;3.77
38;Instance-20-10-44-7;44;0;165212;2223356;674;1.75;236042;3841520;674;2.4;0;267780;1632426;674;1.72;399522;2506585;674;2.33;0;606216;2674088;674;4.44;990565;4607625;674;5.81;0;580389;1963242;674;3.34;896343;3025555;674;4.16;0;371754;1746128;674;1.83;564392;2683037;674;2.49;0;199921;1817299;674;1.89;281673;2851877;674;2.61;0;371754;1746128;674;4.17;564392;2683037;674;5.07;0;371754;1746128;674;1.9;564392;2683037;674;2.69;0;371754;1746128;674;4.2;564392;2683037;674;4.96;0;371754;1746128;674;1.85;564392;2683037;674;3;0;199921;1817299;674;1.8;281673;2851877;674;2.46;3;208421;2424169;-1;600;-1;-1;-1;600;0;208421;2651817;674;2.07;292194;4208098;674;2.71
39;Instance-20-10-46-0;46;0;213321;3377503;659;8.63;557214;13091417;659;19.85;0;358164;2234290;659;10.54;1006266;6577020;659;23.46;0;876011;4050915;659;14.85;2916949;15469127;659;30.82;0;798229;2694744;659;7.43;2359698;7964214;659;21.35;0;504257;2391105;659;8.33;1456544;7045273;659;19.08;0;254775;2534051;659;9.45;642949;7823366;659;19.14;0;504257;2391105;659;23.75;1456544;7045273;659;56.89;0;504257;2391105;659;9.31;1456544;7045273;659;50.79;0;504257;2391105;659;23.55;1456544;7045273;659;35.91;0;504257;2391105;659;4.58;1456544;7045273;659;13.88;0;254775;2534051;659;8.58;642949;7823366;659;50.2;3;264848;3413016;-1;600;-1;-1;-1;600;0;264848;3727070;659;8.88;661494;11806621;659;14.91
40;Instance-20-10-46-3;46;0;113483;1257026;646;1.13;148989;1945098;646;1.5;0;173879;1026152;646;1.04;238907;1454177;646;1.37;0;354857;1506222;646;1.86;531291;2336414;646;2.54;0;359586;1226344;646;1.19;514128;1746523;646;1.61;0;235833;1095928;646;1.04;330255;1554539;646;1.4;0;138264;1117483;646;1.18;180359;1610732;646;1.56;0;235833;1095928;646;1.44;330255;1554539;646;1.99;0;235833;1095928;646;1.11;330255;1554539;646;1.8;0;235833;1095928;646;1.4;330255;1554539;646;1.78;0;235833;1095928;646;1.02;330255;1554539;646;1.56;0;138264;1117483;646;1.08;180359;1610732;646;1.48;3;145028;1459931;-1;600;-1;-1;-1;600;0;145028;1599653;646;1.24;188486;2329957;646;1.6
41;Instance-20-10-46-7;46;0;189131;2842743;653;6.47;434414;9445321;653;10.11;0;313462;1954971;653;5.25;774133;5047827;653;11.81;0;745696;3409368;653;10.73;2170662;11197070;653;20.29;0;691910;2352539;653;5.72;1799523;6102451;653;11.23;0;439093;2090662;653;5.64;1115142;5404337;653;10.86;0;226933;2200018;653;6.4;505177;5941894;653;10.57;0;439093;2090662;653;11.04;1115142;5404337;653;36.82;0;439093;2090662;653;6.17;1115142;5404337;653;31.46;0;439093;2090662;653;11.39;1115142;5404337;653;17.51;0;439093;2090662;653;5.16;1115142;5404337;653;50.17;0;226933;2200018;653;5.57;505177;5941894;653;21.93;3;236293;2941409;-1;600;-1;-1;-1;600;0;236293;3213049;653;4.53;520859;8910082;653;8.6
42;Instance-20-10-48-0;48;0;140393;1805773;717;5.35;697551;17816887;700;10.82;0;223768;1356930;717;4.15;1274437;8418282;700;9.9;0;494163;2168193;717;8.83;3812706;20952310;700;16.96;0;478959;1628308;717;4.57;3009940;10191048;700;11.45;0;308709;1450521;717;3.7;1852609;9016722;700;10.12;0;169881;1501493;717;4.55;798027;10078806;700;9.91;0;308709;1450521;717;5.58;1852609;9016722;700;20.35;0;308709;1450521;717;4.15;1852609;9016722;700;19.77;0;308709;1450521;717;5.73;1852609;9016722;700;11.96;3;308709;1450521;717;3.64;1852609;9016722;-1;600;0;169881;1501493;717;4;798027;10078806;700;13.83;3;177886;1980896;-1;600;-1;-1;-1;600;0;177886;2168202;717;4.43;820028;15223807;700;9.16
43;Instance-20-10-48-3;48;0;179216;2617804;673;2.2;255200;4468581;673;3;0;295240;1832044;673;1.96;437185;2781894;673;2.68;0;693345;3141630;673;3.83;1116859;5341780;673;5.36;0;648637;2203996;673;2.42;989584;3356640;673;3.32;0;412408;1958909;673;2.04;620284;2976533;673;2.81;0;215467;2056913;673;2.19;302546;3187712;673;2.95;0;412408;1958909;673;2.62;620284;2976533;673;3.96;0;412408;1958909;673;2.04;620284;2976533;673;3.18;0;412408;1958909;673;2.53;620284;2976533;673;3.34;0;412408;1958909;673;2.01;620284;2976533;673;3.7;0;215467;2056913;673;1.96;302546;3187712;673;2.84;3;224790;2740516;-1;600;-1;-1;-1;600;0;224790;2994746;673;2.41;314075;4687985;673;3.2
44;Instance-20-10-48-7;48;0;147212;2002652;647;2.37;318464;6338110;647;3.92;0;237408;1449363;647;2.16;557961;3596248;647;3.54;0;538941;2402893;647;4.32;1506332;7538632;647;6.81;0;512723;1740625;647;2.71;1283480;4346288;647;4.52;0;329010;1549477;647;2.07;798644;3849585;647;3.61;0;177141;1613893;647;2.31;373232;4188203;647;3.75;0;329010;1549477;647;4.27;798644;3849585;647;8.28;0;329010;1549477;647;2.21;798644;3849585;647;5.74;0;329010;1549477;647;4.25;798644;3849585;647;5.76;0;329010;1549477;647;2.06;798644;3849585;647;17.89;0;177141;1613893;647;1.99;373232;4188203;647;6.18;3;185190;2135037;-1;600;-1;-1;-1;600;0;185190;2335651;647;2.49;386220;6221602;647;3.8
45;Instance-20-10-50-0;50;0;147114;1965057;687;3.45;433574;9835562;687;6.34;0;237267;1441966;687;2.66;776310;5052501;687;6.71;0;534238;2360871;687;5.77;2211899;11628721;687;12;0;512561;1733756;687;3.44;1812440;6117475;687;8.13;0;328620;1542009;687;2.8;1120186;5411211;687;7.03;0;177812;1603790;687;3.03;502006;5973032;687;5.9;0;328620;1542009;687;4.52;1120186;5411211;687;12.05;0;328620;1542009;687;2.94;1120186;5411211;687;8.54;0;328620;1542009;687;4.49;1120186;5411211;687;9.73;0;328620;1542009;687;2.66;1120186;5411211;687;7.42;0;177812;1603790;687;2.68;502006;5973032;687;9.19;3;186261;2115747;-1;600;-1;-1;-1;600;0;186261;2316341;687;3.43;518215;8947992;687;7.14
46;Instance-20-10-50-3;50;0;161884;2297248;682;3.08;379515;8155099;682;5.1;0;264407;1629388;682;2.56;673633;4379953;682;4.35;0;612037;2756549;682;5.22;1876757;9666224;682;8.62;0;576672;1958808;682;3.15;1563112;5296141;682;5.68;0;368252;1742381;682;2.51;969007;4689210;682;4.23;0;194993;1824092;682;2.91;441738;5141391;682;4.79;0;368252;1742381;682;5.85;969007;4689210;682;10.55;0;368252;1742381;682;2.65;969007;4689210;682;6.28;0;368252;1742381;682;5.76;969007;4689210;682;7.93;0;368252;1742381;682;2.48;969007;4689210;682;4.51;0;194993;1824092;682;2.55;441738;5141391;682;5.36;3;203856;2415519;-1;600;-1;-1;-1;600;0;203856;2641783;682;3.12;456555;7659052;682;4.98
47;Instance-20-10-50-7;50;0;155859;2182269;550;8.51;725508;19212075;550;25.98;0;254392;1561188;550;16.38;1329698;8802039;550;54.83;0;586642;2621860;550;16.59;4023639;22530565;550;72.25;0;554585;1877966;550;12.85;3146300;10655847;550;63.61;0;354155;1669759;550;9.47;1935058;9427758;550;58.25;0;187777;1745612;550;8.43;826810;10547837;550;27.61;0;354155;1669759;550;14.92;1935058;9427758;550;83.45;0;354155;1669759;550;9.93;1935058;9427758;550;74.3;0;354155;1669759;550;15.14;1935058;9427758;550;50.29;0;354155;1669759;550;6.41;1935058;9427758;550;29.88;0;187777;1745612;550;7.36;826810;10547837;550;67.19;3;196291;2316660;-1;600;-1;-1;-1;600;0;196291;2534092;550;19.47;849776;15929822;550;53.25
48;Instance-20-10-52-0;52;0;202592;3349971;729;8.34;903540;25711678;719;19.01;0;341683;2163681;729;6.56;1671086;11183817;719;32.79;0;849088;4006289;729;14.45;5186638;30017640;719;54.84;0;764294;2604989;729;16.05;3973081;13525531;719;42.3;0;482016;2313836;729;6.68;2439942;11975537;719;38.96;0;241004;2461788;729;6.53;1021314;13454724;719;17.94;0;482016;2313836;729;14.65;2439942;11975537;719;71.75;0;482016;2313836;729;7.02;2439942;11975537;719;37.62;0;482016;2313836;729;14.6;2439942;11975537;719;47.71;0;482016;2313836;729;5.65;2439942;11975537;719;26.12;0;241004;2461788;729;5.7;1021314;13454724;719;23.14;3;251240;3286562;-1;600;-1;-1;-1;600;0;251240;3587194;729;8.21;1048558;20325912;719;34.81
49;Instance-20-10-52-3;52;0;214397;3637646;699;4.81;414236;9462385;699;8.22;0;363882;2305840;699;10.6;741560;4850994;699;13.43;0;915003;4348403;699;8.1;2114601;11176939;699;14.04;0;817666;2778924;699;5.75;1731028;5867908;699;9.43;0;514593;2466702;699;4.91;1070098;5193721;699;8.13;0;254707;2631757;699;4.44;479293;5725228;699;6.93;0;514593;2466702;699;19.51;1070098;5193721;699;37.57;0;514593;2466702;699;5.14;1070098;5193721;699;19.88;0;514593;2466702;699;19.6;1070098;5193721;699;22.79;0;514593;2466702;699;5.08;1070098;5193721;699;18.41;0;254707;2631757;699;3.87;479293;5725228;699;13.88;3;265314;3523718;-1;600;-1;-1;-1;600;0;265314;3845702;699;4.12;495195;8544277;699;7.43
