instances;name;obstaculos;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
0;Instance-20-0-20-0_enc1;0;0;82963;463761;253;0.21;82963;463761;253;0.21;0;82963;463761;253;0.21;82963;463761;253;0.21;0;105268;476271;253;0.22;105268;476271;253;0.22;0;178669;42235;253;1;178669;42235;253;1;0;;;;;;;253;0.05
1;Instance-20-0-20-1_enc1;0;0;112500;718201;293;0.29;112500;718201;293;0.29;0;112500;718201;293;0.29;112500;718201;293;0.29;0;156177;730369;293;0.33;156177;730369;293;0.33;0;281286;66756;293;1;281286;66756;293;1;0;;;;;;;296;0.731
2;Instance-20-0-20-2_enc1;0;0;143679;1024010;257;0.45;143679;1024010;257;0.45;0;143679;1024010;257;0.43;143679;1024010;257;0.43;0;215027;1030857;257;0.46;215027;1030857;257;0.46;0;400937;92917;257;1.908178806;400937;92917;257;2;0;;;;;;;259;0.965
3;Instance-20-0-20-3_enc1;0;0;108228;693915;285;0.29;108228;693915;285;0.29;0;108228;693915;285;0.29;108228;693915;285;0.29;0;150362;704035;285;0.35;150362;704035;285;0.35;0;270338;62559;285;1;270338;62559;285;1;0;;;;;;;285;0.12
4;Instance-20-0-20-4_enc1;0;0;97143;583937;264;0.25;97143;583937;264;0.25;0;97143;583937;264;0.26;97143;583937;264;0.26;0;129515;595887;264;0.25;129515;595887;264;0.25;0;226049;53545;264;1.058388948;226049;53545;264;1.058388948;0;;;;;;;265;0.066
5;Instance-20-0-20-5_enc1;0;0;99346;617487;279;0.26;99346;617487;279;0.26;0;99346;617487;279;0.26;99346;617487;279;0.26;0;135354;627271;279;0.29;135354;627271;279;0.29;0;237650;54512;279;1.163681507;237650;54512;279;1.163681507;0;;;;;;;280;0.067
6;Instance-20-0-20-6_enc1;0;0;54332;269748;172;0.11;54332;269748;172;0.11;0;54332;269748;172;0.13;54332;269748;172;0.13;0;64068;277583;172;0.13;64068;277583;172;0.13;0;98200;21933;172;0.434621334;98200;21933;172;0.434621334;0;;;;;;;172;0.01
7;Instance-20-0-20-7_enc1;0;0;105830;671572;271;0.27;105830;671572;271;0.27;0;105830;671572;271;0.27;105830;671572;271;0.27;0;146068;680885;271;0.32;146068;680885;271;0.32;0;259350;58926;271;1;259350;58926;271;1;0;;;;;;;274;0.344
8;Instance-20-0-20-8_enc1;0;0;140126;953426;366;0.41;140126;953426;366;0.41;0;140126;953426;366;0.38;140126;953426;366;0.38;0;202984;965280;366;0.44;202984;965280;366;0.44;0;376078;87455;366;2;376078;87455;366;2;0;;;;;;;367;0.106
9;Instance-20-0-20-9_enc1;0;0;121356;815458;306;0.33;121356;815458;306;0.33;0;121356;815458;306;0.34;121356;815458;306;0.34;0;174458;823513;306;0.37;174458;823513;306;0.37;0;315521;72111;306;2;315521;72111;306;2;0;;;;;;;307;0.09
10;Instance-20-10-20-0_enc1;10;0;63624;329416;266;0.3;98604;619176;266;0.39;0;63624;329416;266;0.31;98604;619176;266;0.43;0;79129;338721;266;0.35;139477;628904;266;0.46;0;133298;29288;266;1;259359;59239;266;2;0;;;;;;;269;4.104
11;Instance-20-10-20-1_enc1;10;0;47012;211579;247;0.1;47012;211579;247;0.1;0;47012;211579;247;0.09;47012;211579;247;0.09;0;53530;217333;247;0.1;53530;217333;247;0.1;0;78318;15682;247;0;78318;15682;247;0;0;;;;;;;249;0.181
12;Instance-20-10-20-2_enc1;10;0;66171;355911;260;0.17;66171;355911;260;0.17;0;66171;355911;260;0.16;66171;355911;260;0.16;0;84672;365265;260;0.18;84672;365265;260;0.18;0;145095;32198;260;0.753152847;145095;32198;260;1;0;;;;;;;261;0.128
13;Instance-20-10-20-3_enc1;10;0;64638;350667;281;0.34;93156;594612;281;0.48;0;64638;350667;281;0.33;93156;594612;281;0.45;0;82978;358142;281;0.35;133076;601411;281;0.5;0;138382;29568;281;1;243431;53284;281;2;0;;;;;;;285;13.397
14;Instance-20-10-20-4_enc1;10;0;74617;408482;282;0.18;74617;408482;282;0.18;0;74617;408482;282;0.19;74617;408482;282;0.19;0;96666;418873;282;0.2;96666;418873;282;0.2;0;169945;38541;282;1;169945;38541;282;1;0;;;;;;;284;0.299
15;Instance-20-10-20-5_enc1;10;0;76051;449370;248;0.34;90399;572981;248;0.44;0;76051;449370;248;0.34;90399;572981;248;0.44;0;103213;457630;248;0.39;128557;580590;248;0.51;0;181460;40757;248;1;234191;52568;248;2;0;;;;;;;253;3.418
16;Instance-20-10-20-6_enc1;10;0;114691;774935;291;0.64;140930;1028465;291;0.81;0;114691;774935;291;0.61;140930;1028465;291;0.8;0;170623;781004;291;0.67;221492;1027591;291;0.86;0;321164;71915;291;2;424361;94010;291;3;0;;;;;;;292;0.987
17;Instance-20-10-20-7_enc1;10;0;103371;657887;301;0.27;103371;657887;301;0.27;0;103371;657887;301;0.29;103371;657887;301;0.29;0;147436;667347;301;0.3;147436;667347;301;0.3;0;273624;62520;301;1;273624;62520;301;1;0;;;;;;;301;0.047
18;Instance-20-10-20-8_enc1;10;0;57147;281140;269;0.13;57147;281140;269;0.13;0;57147;281140;269;0.14;57147;281140;269;0.14;0;69004;288926;269;0.13;69004;288926;269;0.13;0;110465;23899;269;1;110465;23899;269;1;0;;;;;;;270;0.04
19;Instance-20-10-20-9_enc1;10;0;65226;347729;266;0.25;71456;397171;266;0.31;0;65226;347729;266;0.26;71456;397171;266;0.32;0;82577;357178;266;0.28;92829;406779;266;0.36;0;139255;30932;266;1;160694;36041;266;1;0;;;;;;;268;0.366
20;Instance-20-15-20-0_enc1;15;0;66962;352701;297;0.29;79864;455425;297;0.38;0;66962;352701;297;0.32;79864;455425;297;0.41;0;86063;362909;297;0.32;108124;466323;297;0.43;0;151375;34079;297;0.808166981;197927;45145;297;1.418256283;0;;;;;;;300;1.54
21;Instance-20-15-20-1_enc1;15;0;45480;201861;289;0.15;50483;236030;289;0.19;0;45480;201861;289;0.16;50483;236030;289;0.19;0;52511;207610;289;0.17;60027;242999;289;0.22;0;76506;15483;289;0;93311;19501;289;1;0;;;;;;;294;2.479
22;Instance-20-15-20-2_enc1;15;0;78857;455386;295;0.4;107722;709008;295;0.54;0;78857;455386;295;0.38;107722;709008;295;0.52;0;107645;464116;295;0.41;160634;714363;295;0.57;0;191317;43315;295;1;300801;67347;295;2;0;;;;;;;301;10.283
23;Instance-20-15-20-3_enc1;15;0;98100;631384;238;0.26;98100;631384;238;0.26;0;98100;631384;238;0.26;98100;631384;238;0.26;0;143553;638314;238;0.29;143553;638314;238;0.29;0;269746;60849;238;1;269746;60849;238;1;0;;;;;;;239;0.075
24;Instance-20-15-20-4_enc1;15;0;70300;389810;254;0.43;128948;912949;252;0.78;0;70300;389810;254;0.43;128948;912949;252;0.7;0;92573;399461;254;0.46;201641;914426;252;0.84;0;165990;38055;254;1;389765;86583;252;4;0;;;;;;;256;13.73
25;Instance-20-15-20-5_enc1;15;0;131789;913826;348;0.73;166978;1262009;348;0.96;0;131789;913826;348;0.74;166978;1262009;348;0.96;0;202844;917386;348;0.81;273423;1252990;348;1.1;0;389221;86720;348;2.300809145;532064;116480;348;4;0;;;;;;;349;1.836
26;Instance-20-15-20-6_enc1;15;0;58527;291650;243;0.2;64151;333069;243;0.26;0;58527;291650;243;0.21;64151;333069;243;0.26;0;72498;301273;243;0.23;81601;343478;243;0.29;0;125416;28156;243;1;144697;33101;243;1;0;;;;;;;244;0.169
27;Instance-20-15-20-7_enc1;15;0;60905;324278;247;0.24;79715;476048;247;0.34;0;60905;324278;247;0.26;79715;476048;247;0.36;0;78365;332031;247;0.29;110719;484200;247;0.39;0;136005;29817;247;1;203805;45832;247;1;0;;;;;;;253;6.382
28;Instance-20-15-20-8_enc1;15;0;102510;647261;312;0.91;272913;2376889;304;1.71;0;102510;647261;312;0.93;272913;2376889;304;1.52;0;148290;656413;312;0.99;495727;2298501;304;1.94;0;279986;63053;312;1.779907703;983118;203359;304;7;0;;;;;;;307;24.206
29;Instance-20-15-20-9_enc1;15;0;71987;395790;274;0.18;71987;395790;274;0.18;0;71987;395790;274;0.16;71987;395790;274;0.16;0;94440;405013;274;0.21;94440;405013;274;0.21;0;166877;37916;274;1;166877;37916;274;1;0;;;;;;;277;0.165
30;Instance-20-20-20-0_enc1;20;0;146676;985087;409;1.35;380499;3359385;406;4.71;0;146676;985087;409;1.39;380499;3359385;406;2.6;0;224505;991755;409;1.62;709360;3236439;406;5.14;0;440420;99482;409;5;1422551;293794;406;24;3;;;;;;;-1;600
31;Instance-20-20-20-1_enc1;20;0;78616;444606;328;0.4;99391;621859;328;0.53;0;78616;444606;328;0.39;99391;621859;328;0.52;0;107187;453870;328;0.45;145459;629546;328;0.6;0;198751;45082;328;1;278447;63415;328;3;0;;;;;;;332;2.516
32;Instance-20-20-20-2_enc1;20;0;58067;299647;257;0.31;101765;666399;257;0.44;0;58067;299647;257;0.3;101765;666399;257;0.45;0;74641;308657;257;0.36;153754;671983;257;0.51;0;131670;29346;257;0.762607813;294917;65510;257;2;0;;;;;;;265;18.953
33;Instance-20-20-20-3_enc1;20;0;84491;504669;335;0.43;118759;810881;335;0.58;0;84491;504669;335;0.45;118759;810881;335;0.64;0;119215;512764;335;0.49;183858;813224;335;0.68;0;218714;49982;335;1;351842;78212;335;3;0;;;;;;;341;10.315
34;Instance-20-20-20-4_enc1;20;0;44224;208816;269;0.45;173813;1389618;254;0.98;0;44224;208816;269;0.5;173813;1389618;254;0.8;0;53326;214644;269;0.45;300798;1360843;254;1.16;0;85840;17062;269;0.498163462;592049;123233;254;3.508609533;0;;;;;;;257;0.907
35;Instance-20-20-20-5_enc1;20;0;108299;689396;319;0.31;108299;689396;319;0.31;0;108299;689396;319;0.29;108299;689396;319;0.29;0;159593;699404;319;0.35;159593;699404;319;0.35;0;307478;70436;319;1;307478;70436;319;1;0;;;;;;;321;0.126
36;Instance-20-20-20-6_enc1;20;0;83295;475630;345;0.54;160034;1182128;345;0.9;0;83295;475630;345;0.57;160034;1182128;345;0.92;0;114409;486998;345;0.63;263871;1172381;345;1.06;0;215985;49349;345;2;521004;113563;345;4;0;;;;;;;357;110.621
37;Instance-20-20-20-7_enc1;20;0;62145;339579;278;0.26;73756;433868;278;0.34;0;62145;339579;278;0.29;73756;433868;278;0.37;0;81564;346933;278;0.31;101689;441215;278;0.41;0;143753;30869;278;1;186307;40294;278;1;0;;;;;;;284;1.946
38;Instance-20-20-20-8_enc1;20;0;62440;335761;279;0.63;178626;1416846;279;1.32;0;62440;335761;279;0.58;178626;1416846;279;1.15;0;81598;344019;279;0.65;306578;1390323;279;1.27;0;145553;33113;279;1;605733;128968;279;5;0;;;;;;;288;105.049
39;Instance-20-20-20-9_enc1;20;0;94859;574089;329;0.89;277819;2397469;329;1.58;0;94859;574089;329;0.86;277819;2397469;329;1.59;0;135461;583492;329;1;508956;2309776;329;1.8;0;257276;58134;329;2;1014406;209228;329;10;0;;;;;;;338;183.413
40;Instance-20-25-20-0_enc1;25;0;53917;275630;242;0.25;80884;489659;242;0.33;0;53917;275630;242;0.23;80884;489659;242;0.32;0;68878;284512;242;0.31;115895;497852;242;0.39;0;125021;28109;242;1;222927;50456;242;1;0;;;;;;;244;0.695
41;Instance-20-25-20-1_enc1;25;0;104292;657061;383;0.69;169467;1258495;383;0.9;0;104292;657061;383;0.67;169467;1258495;383;0.96;0;155177;663919;383;0.75;284170;1246352;383;1.03;0;299749;66302;383;2;564806;120425;383;5;0;;;;;;;393;24.502
42;Instance-20-25-20-2_enc1;25;0;69472;392584;280;0.76;156678;1179036;280;2.21;0;69472;392584;280;0.79;156678;1179036;280;1.52;0;95825;400319;280;0.87;264431;1162100;280;2.53;0;178372;39441;280;2;524821;111995;280;7;0;;;;;;;287;65.973
43;Instance-20-25-20-3_enc1;25;0;89586;556982;384;0.69;187033;1470416;384;1.27;0;89586;556982;384;0.68;187033;1470416;384;1.18;0;131717;561007;384;0.76;323824;1434253;384;1.41;0;243308;52410;384;2;639374;130862;384;6;0;;;;;;;390;56.574
44;Instance-20-25-20-4_enc1;25;0;81293;485114;329;0.89;276583;2412322;323;3.93;0;81293;485114;329;0.9;276583;2412322;323;2.48;0;116745;493394;329;1;519004;2306814;323;3.57;0;222952;50365;329;3;1040807;209616;323;13;0;;;;;;;332;185.523
45;Instance-20-25-20-5_enc1;25;0;66468;362642;305;0.5;168763;1282724;305;1.13;0;66468;362642;305;0.5;168763;1282724;305;0.99;0;88871;371476;305;0.58;286539;1263815;305;1.2;0;164699;36645;305;1;571471;121131;305;6;0;;;;;;;307;30.038
46;Instance-20-25-20-6_enc1;25;0;44868;206243;271;0.23;69240;383032;271;0.37;0;44868;206243;271;0.21;69240;383032;271;0.3;0;53775;213592;271;0.23;94162;393533;271;0.34;0;93654;19848;271;0.525535345;179552;40886;271;2;0;;;;;;;278;4.738
47;Instance-20-25-20-7_enc1;25;0;123696;803227;421;1.61;363116;3184366;421;7.69;0;123696;803227;421;1.61;363116;3184366;421;6.45;0;187963;811658;421;2.09;683199;3051711;421;8.97;0;370702;82919;421;5;1378306;280143;421;43;0;;;;;;;426;524.047
48;Instance-20-25-20-8_enc1;25;0;75615;416036;390;0.83;287583;2498409;390;1.73;0;75615;416036;390;0.86;287583;2498409;390;2.06;0;102058;427017;390;0.88;537285;2398393;390;1.95;0;192467;43289;390;2;1078134;218887;390;16;3;;;;;;;-1;600
49;Instance-20-25-20-9_enc1;25;0;83337;476734;361;0.61;164401;1200431;359;1.08;0;83337;476734;361;0.6;164401;1200431;359;1.02;0;116433;485908;361;0.61;274164;1190870;359;1.33;0;220065;49228;361;1;545525;117064;359;5;0;;;;;;;366;48.661
50;Instance-20-30-20-0_enc1;30;0;55294;275885;357;0.59;202515;1635878;357;2.82;0;55294;275885;357;0.63;202515;1635878;357;5.63;0;71221;284593;357;0.6;365143;1584597;357;4.08;0;128875;28208;357;1;732016;148538;357;20;3;;;;;;;-1;600
51;Instance-20-30-20-1_enc1;30;0;117694;728924;493;4.47;787158;7399334;480;34.64;0;117694;728924;493;4.52;787158;7399334;480;42.26;0;177105;738081;493;4.68;1597971;6919445;480;84.95;1;355075;79546;493;55;-1;-1;-1;600;3;;;;;;;-1;600
52;Instance-20-30-20-2_enc1;30;0;129069;838321;422;1.25;300168;2475846;422;8.08;0;129069;838321;422;1.23;300168;2475846;422;6.47;0;199734;848334;422;1.47;549864;2388709;422;8.47;0;400571;88371;422;6;1116523;225131;422;124;3;;;;;;;-1;600
53;Instance-20-30-20-3_enc1;30;0;79229;435995;433;1.17;349213;3051168;419;6.41;0;79229;435995;433;1.07;349213;3051168;419;3.83;0;108540;447038;433;1.2;665914;2906821;419;8.86;0;207964;46714;433;3;1347239;265267;419;49;3;;;;;;;-1;600
54;Instance-20-30-20-4_enc1;30;0;75310;420203;353;0.57;198190;1537132;353;0.95;0;75310;420203;353;0.58;198190;1537132;353;0.92;0;103947;429445;353;0.66;346585;1506001;353;1.02;0;197108;43557;353;1;696553;142697;353;5;0;;;;;;;360;66.34
55;Instance-20-30-20-5_enc1;30;0;92599;559405;357;1.24;334758;2894450;354;4.47;0;92599;559405;357;1.19;334758;2894450;354;3.79;0;135423;567960;357;1.28;634163;2763227;354;5.66;0;263909;58540;357;3;1284133;245924;354;22;3;;;;;;;-1;600
56;Instance-20-30-20-6_enc1;30;0;203764;1501407;469;3.66;662055;6115564;467;18.46;0;203764;1501407;469;3.63;662055;6115564;467;12.1;0;346385;1487834;469;5.88;1321349;5757909;467;17.52;1;702773;149136;469;13;-1;-1;-1;600;3;;;;;;;-1;600
57;Instance-20-30-20-7_enc1;30;0;98975;589542;468;2.9;438818;3924979;468;26.09;0;98975;589542;468;2.57;438818;3924979;468;22.2;0;144629;597246;468;2.89;856750;3710419;468;29.21;0;282253;60975;468;15;1739484;332518;468;382;3;;;;;;;-1;600
58;Instance-20-30-20-8_enc1;30;0;94688;559438;431;18.46;363827;3171023;429;118.66;0;94688;559438;431;16.8;363827;3171023;429;266.13;0;136044;567075;431;17.28;689187;3025218;429;133.23;1;260915;56748;431;27;-1;-1;-1;600;3;;;;;;;-1;600
59;Instance-20-30-20-9_enc1;30;0;152929;1004141;546;9.38;913202;8657895;536;102.47;0;152929;1004141;546;9.36;913202;8657895;536;172.97;0;239212;1011700;546;8.63;1851895;8103045;536;254.76;1;480252;105576;546;16;-1;-1;-1;600;3;;;;;;;-1;600
60;Instance-20-35-20-0_enc1;35;0;89831;496917;450;1.3;445372;3864772;435;7.93;0;89831;496917;450;1.32;445372;3864772;435;6.24;0;126612;511623;450;1.42;863914;3672696;435;9.44;0;251427;58015;450;3;1761491;336763;435;159;3;;;;;;;-1;600
61;Instance-20-35-20-1_enc1;35;0;84711;463596;435;1.42;553730;4891770;435;2.75;0;84711;463596;435;1.44;553730;4891770;435;4.47;0;118627;476776;435;1.71;1091756;4614801;435;3.67;0;235627;53043;435;2;2231322;423487;435;25;3;;;;;;;-1;600
62;Instance-20-35-20-2_enc1;35;0;204473;1332372;633;4.72;1300944;12131072;578;28.89;0;204473;1332372;633;4.73;1300944;12131072;578;37.72;0;325099;1355502;633;5.16;2653933;11354496;578;38.76;1;668633;151014;633;14;-1;-1;-1;600;3;;;;;;;-1;600
63;Instance-20-35-20-3_enc1;35;0;182397;1199319;555;4.9;642905;5621887;546;89.57;0;182397;1199319;555;5.04;642905;5621887;546;163.32;0;292816;1205665;555;7.82;1262714;5323693;546;178.89;1;598214;128529;555;49;-1;-1;-1;600;3;;;;;;;-1;600
64;Instance-20-35-20-4_enc1;35;0;137781;911435;535;5.86;907741;8525583;535;54.26;0;137781;911435;535;5.76;907741;8525583;535;77.11;0;220152;914650;535;6.62;1862659;7925282;535;52.41;1;445253;96438;535;42;-1;-1;-1;600;3;;;;;;;-1;600
65;Instance-20-35-20-5_enc1;35;0;56372;277376;395;0.55;203984;1593603;389;5.18;0;56372;277376;395;0.56;203984;1593603;389;3.41;0;72853;286905;395;0.62;365468;1546909;389;7.45;0;137371;30069;395;1;741405;147842;389;11;3;;;;;;;-1;600
66;Instance-20-35-20-6_enc1;35;0;120438;787296;529;12.19;790811;7483072;529;75.62;0;120438;787296;529;11.95;790811;7483072;529;46.18;0;188598;791050;529;11.01;1613949;6970093;529;84.58;1;376647;80401;529;10;-1;-1;-1;600;3;;;;;;;-1;600
67;Instance-20-35-20-7_enc1;35;0;91406;535177;488;1.74;507119;4524174;488;34.27;0;91406;535177;488;1.68;507119;4524174;488;48.33;0;133733;543322;488;2.1;1005700;4257093;488;36.46;1;263848;57001;488;3;-1;-1;-1;600;3;;;;;;;-1;600
68;Instance-20-35-20-8_enc1;35;0;61667;325791;444;1.28;503124;4588263;443;65.05;0;61667;325791;444;1.33;503124;4588263;443;68.98;0;83821;332327;444;1.36;1010127;4293236;443;87.55;1;155949;33211;444;4;-1;-1;-1;600;3;;;;;;;-1;600
69;Instance-20-35-20-9_enc1;35;0;132844;833586;569;5.96;1361446;13174908;503;275.87;0;132844;833586;569;5.91;1361446;13174908;503;272.33;0;203289;844921;569;7.03;2824515;12229913;503;288.39;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
70;Instance-20-40-20-0_enc1;40;1;75639;379079;697;4.18;1204924;11203155;667;600;1;75639;379079;697;4.12;1204924;11203155;697;600;1;101537;391522;697;4.49;2509123;10368439;683;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
71;Instance-20-40-20-1_enc1;40;1;93912;520056;677;6.49;1153053;10775468;651;600;1;93912;520056;677;6.46;1153053;10775468;677;600;1;133761;531363;677;7.99;2395663;10004461;648;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
72;Instance-20-40-20-2_enc1;40;0;104897;588011;624;3.45;896609;8219295;610;214.05;0;104897;588011;624;3.4;896609;8219295;610;250.58;0;150485;602472;624;4.28;1833939;7664600;610;206.79;1;308467;68597;624;8;-1;-1;-1;600;3;;;;;;;-1;600
73;Instance-20-40-20-3_enc1;40;0;128297;730925;856;13.33;1977663;18799165;789;491.33;0;128297;730925;856;13.07;1977663;18799165;789;474.56;1;186984;750042;856;19.18;4144576;17380136;789;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
74;Instance-20-40-20-4_enc1;40;0;167899;1125156;786;12.86;1511080;14329587;786;92.21;0;167899;1125156;786;12.89;1511080;14329587;786;92.67;0;275124;1125261;786;12.86;3160690;13239836;786;113.28;1;565543;120643;786;262;-1;-1;-1;600;3;;;;;;;-1;600
75;Instance-20-40-20-5_enc1;40;0;65282;329636;536;2.01;600147;5429301;536;85.25;0;65282;329636;536;1.98;600147;5429301;536;128.37;0;86455;338681;536;2.12;1207269;5078321;536;110.24;1;165263;36285;536;14;-1;-1;-1;600;3;;;;;;;-1;600
76;Instance-20-40-20-6_enc1;40;1;99434;537985;727;71.22;971509;8990496;707;600;1;99434;537985;727;71.08;971509;8990496;727;600;1;137962;550348;727;16.35;1988018;8390895;699;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
77;Instance-20-40-20-7_enc1;40;1;77482;418983;507;30.37;931445;8629954;506;600;1;77482;418983;507;30.32;931445;8629954;507;600;1;108904;429612;507;35.16;1925589;8019006;507;600;1;220957;46329;507;81;-1;-1;507;600;3;;;;;;;-1;600
78;Instance-20-40-20-8_enc1;40;0;78541;458320;444;1.01;333284;2849603;440;5.38;0;78541;458320;444;1.01;333284;2849603;440;5.5;0;115224;463172;444;1.1;644002;2703948;440;8.31;1;226635;45767;444;2;-1;-1;-1;600;3;;;;;;;-1;600
79;Instance-20-40-20-9_enc1;40;0;173660;1234313;585;5.05;981722;9118447;551;121.98;0;173660;1234313;585;4.98;981722;9118447;551;119.58;0;298308;1219730;585;10.01;2028118;8471007;551;141.65;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
80;Instance-20-45-20-0_enc1;45;0;58301;276703;571;2.29;469246;4006657;567;269.41;1;58301;276703;571;2.22;469246;4006657;571;600;0;75856;285411;571;2.1;928594;3780335;567;329.64;1;145771;29940;571;16;-1;-1;-1;600;3;;;;;;;-1;600
81;Instance-20-45-20-1_enc1;45;1;149563;924540;745;11;987412;8956600;745;600;1;149563;924540;745;11;987412;8956600;745;600;1;234128;935842;745;11.05;2034058;8358397;745;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
82;Instance-20-45-20-2_enc1;45;1;100476;600385;549;10.1;670690;6045914;548;600;1;100476;600385;549;10.18;670690;6045914;549;600;1;152636;607803;549;7.3;1369718;5635630;549;600;1;313816;67430;549;399;-1;-1;549;600;3;;;;;;;-1;600
