instances;name;obstaculos;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
128;Instance-20-60-20-8_enc1;60;1;98553;623018;727;28.51;1186506;10842066;727;600;1;98553;623018;727;33.79;1186506;10842066;727;600;1;162115;623815;727;37.63;2517165;9947231;727;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
129;Instance-20-60-20-9_enc1;60;1;41729;209133;546;3.87;888993;8102272;546;600;1;41729;209133;546;4.42;888993;8102272;546;600;1;58108;214979;546;4.17;1877383;7447861;546;600;1;118304;25681;546;81;-1;-1;-1;600;3;;;;;;;-1;600
130;Instance-20-65-20-0_enc1;65;1;129825;840615;1021;45.7;1963742;18102128;1021;600;1;129825;840615;1021;52.47;1963742;18102128;1021;600;1;217553;841871;1021;42.57;4195031;16581683;1021;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
131;Instance-20-65-20-1_enc1;65;1;72042;434562;764;4.63;1106044;10168697;764;600;1;72042;434562;764;5.98;1106044;10168697;764;600;1;114356;438815;764;5.5;2350780;9333066;764;600;1;240802;51381;764;155;-1;-1;-1;600;3;;;;;;;-1;600
132;Instance-20-65-20-2_enc1;65;1;72031;441911;696;18.6;964371;8839150;696;600;1;72031;441911;696;19.72;964371;8839150;696;600;1;115448;444112;696;32.75;2046167;8103369;695;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
133;Instance-20-65-20-3_enc1;65;1;69182;420096;705;20.47;984436;9001830;705;600;1;69182;420096;705;21.56;984436;9001830;705;600;1;110394;422235;705;24.81;2087864;8266437;705;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
134;Instance-20-65-20-4_enc1;65;1;85668;553012;797;30.7;1379905;12738788;797;600;1;85668;553012;797;37.72;1379905;12738788;797;600;1;142844;550413;797;32.67;2948776;11656515;797;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
135;Instance-20-65-20-5_enc1;65;1;61993;368926;611;19.19;779113;7094512;611;600;1;61993;368926;611;24;779113;7094512;611;600;1;97193;373125;611;30.07;1646007;6518011;611;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
136;Instance-20-65-20-6_enc1;65;1;47005;259541;629;40.14;759918;6932268;629;600;1;47005;259541;629;50.37;759918;6932268;629;600;1;69901;263544;629;55.85;1608648;6354462;629;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
137;Instance-20-65-20-7_enc1;65;2;101297;654776;-1;600;-1;-1;1280;600;2;101297;654776;-1;600;-1;-1;1280;600;2;169726;656794;-1;600;-1;-1;1276;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
138;Instance-20-65-20-8_enc1;65;3;176593;1165644;-1;600;-1;-1;-1;600;3;176593;1165644;-1;600;-1;-1;-1;600;3;307308;1190902;-1;600;-1;-1;-1;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
139;Instance-20-65-20-9_enc1;65;1;107229;680301;878;260.33;1728830;15902665;878;600;1;107229;680301;878;298.37;1728830;15902665;878;600;1;176845;682385;878;406.81;3688859;14578276;878;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
140;Instance-20-70-20-0_enc1;70;1;82728;510206;1137;486.68;1881421;17439143;1137;600;2;82728;510206;-1;600;-1;-1;1279;600;1;133665;514196;1137;304.5;4033839;15939433;1137;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
141;Instance-20-70-20-1_enc1;70;1;91213;587950;1021;226.63;1569351;14504206;1021;600;1;91213;587950;1021;274.38;1569351;14504206;1021;600;1;152337;588555;1021;258.52;3357800;13266873;1021;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
142;Instance-20-70-20-2_enc1;70;1;92814;588600;896;20.57;1381264;12694853;896;600;1;92814;588600;896;21.02;1381264;12694853;896;600;1;153618;592322;896;42.9;2945152;11633591;896;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
143;Instance-20-70-20-3_enc1;70;1;89339;577014;950;80.9;1777440;16450632;950;600;1;89339;577014;950;81.28;1777440;16450632;950;600;1;149979;578015;950;253.9;3808269;15045957;950;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
144;Instance-20-70-20-4_enc1;70;1;58793;362686;718;431.15;1124763;10380863;718;600;1;58793;362686;718;398.4;1124763;10380863;718;600;1;94883;363213;718;358.38;2403787;9496031;718;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
145;Instance-20-70-20-5_enc1;70;1;70370;424532;889;55.86;1255302;11530484;889;600;1;70370;424532;889;53.15;1255302;11530484;889;600;1;111898;428642;889;66.65;2677168;10573613;889;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
146;Instance-20-70-20-6_enc1;70;1;83710;567466;775;139.72;1167350;10772481;775;600;1;83710;567466;775;129.78;1167350;10772481;775;600;1;145069;561235;775;148.81;2494375;9854242;775;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
147;Instance-20-70-20-7_enc1;70;0;53599;335389;522;2.75;607477;5540687;522;243.96;0;53599;335389;522;2.48;607477;5540687;522;329.44;0;87191;335990;522;3.32;1285286;5088503;522;187.68;1;184308;39115;522;195;-1;-1;522;600;3;;;;;;;-1;600
148;Instance-20-70-20-8_enc1;70;1;49373;284136;723;491.01;1004061;9235502;723;600;1;49373;284136;723;441.35;1004061;9235502;723;600;2;75766;288175;-1;600;-1;-1;895;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
149;Instance-20-70-20-9_enc1;70;1;63591;382958;822;61.14;1181356;10867583;822;600;1;63591;382958;822;50.62;1181356;10867583;822;600;1;101124;387724;822;23.6;2520332;9956847;822;600;3;-1;-1;-1;600;-1;-1;-1;600;3;;;;;;;-1;600
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
